horizon,variable,q16,q50,q84
0,msi_raw,0.031387031366063876,0.1229089318641945,0.2674335017067747
0,mu_cp,0.12702684562806707,0.26545889034937814,0.42390423225245255
0,CPI_QoQ_Ann,-0.22687365997426426,-0.03213724095397594,0.18767336171201537
0,Ind_Value_Added_YoY,-0.010884675606447815,0.2794961370058916,0.476736819982382
0,epu_qavg,-0.1452387715351485,-0.02196991817333866,0.12516237674366631
0,gpr_qavg,-0.4602756320826782,-0.210207993324861,0.07672689026440169
1,msi_raw,-0.059927529417321046,0.0690383317117542,0.19817535436410527
1,mu_cp,0.06616738195759636,0.15575038345351447,0.2645564416696632
1,CPI_QoQ_Ann,-0.08797585357243973,0.03202956275712677,0.1465809420261932
1,Ind_Value_Added_YoY,-0.058413950832346684,0.09654053458024019,0.23817346978006695
1,epu_qavg,-0.11535527776062565,-0.005248595166537424,0.10770795072142458
1,gpr_qavg,-0.30368574980422103,-0.08965217715257179,0.1366084627054327
2,msi_raw,-0.23330948124875184,-0.09358911779432687,0.07537371579193619
2,mu_cp,0.01602854833638406,0.08273958218795917,0.17219191997939962
2,CPI_QoQ_Ann,-0.153331294226992,-0.044413119260707346,0.06915919063812183
2,Ind_Value_Added_YoY,-0.0577283596399847,0.07175459071300935,0.19888021678193746
2,epu_qavg,-0.24651229667945213,-0.13591847761386006,0.00917880346671808
2,gpr_qavg,-0.21836262865446338,-0.06763535074787733,0.09510681588176001
3,msi_raw,-0.21298483409391827,-0.0976453989915829,0.009135475927820994
3,mu_cp,-0.02746397032652592,0.04125091522374234,0.12021512116925058
3,CPI_QoQ_Ann,-0.1261475984792255,-0.037915972655243296,0.02986321813488363
3,Ind_Value_Added_YoY,-0.02987605859519269,0.07705216181076344,0.19187499079256393
3,epu_qavg,-0.21471664671046864,-0.11589494114845816,-0.015306129117956927
3,gpr_qavg,-0.1710148279788239,-0.04297895629273768,0.07178120317647362
4,msi_raw,-0.1964731241046352,-0.08877241000033999,0.004195791610927971
4,mu_cp,-0.03483106353056833,0.06364951009340657,0.15450201253845525
4,CPI_QoQ_Ann,-0.13004686834984994,-0.04945226239258996,0.023337342097553816
4,Ind_Value_Added_YoY,-0.015493174585746783,0.08072725122488579,0.17637668908128526
4,epu_qavg,-0.21137898322957488,-0.11903552050603809,-0.036794135412980856
4,gpr_qavg,-0.13390423511992794,-0.02012121931873581,0.07268464051857262
5,msi_raw,-0.177070791799982,-0.0797122401936269,-0.007270854704372154
5,mu_cp,0.0019122741520549737,0.07518689613673539,0.16843802480828146
5,CPI_QoQ_Ann,-0.08602912378256014,-0.008946403444550357,0.06653930725158175
5,Ind_Value_Added_YoY,-0.045677302029200034,0.0306180146959118,0.11625995021167912
5,epu_qavg,-0.19114402014773102,-0.09891599444968036,-0.026744526242701065
5,gpr_qavg,-0.08892591786806386,-0.0010391700002920833,0.07785570633529135
6,msi_raw,-0.16180932046219465,-0.07397240217108969,0.0023779832554238914
6,mu_cp,0.012002689889965154,0.0747608640970985,0.14626669193257436
6,CPI_QoQ_Ann,-0.10291283905730042,-0.030319157208043377,0.03001816759157438
6,Ind_Value_Added_YoY,-0.026903543924939516,0.03244468211308571,0.10394335270596841
6,epu_qavg,-0.18563505373566552,-0.09420501851214305,-0.023394391243803322
6,gpr_qavg,-0.07383025680486344,0.0027489587770900344,0.07929722849011842
7,msi_raw,-0.1457129133583472,-0.06155237340906159,-0.007660912429170118
7,mu_cp,0.010621495138097514,0.06346742253372205,0.13255647028976109
7,CPI_QoQ_Ann,-0.06759973006116737,-0.010659593866839179,0.03576255873883813
7,Ind_Value_Added_YoY,-0.04122923813836627,0.027362796442438556,0.09611684962819807
7,epu_qavg,-0.16651659517527956,-0.07991195861100199,-0.01565880183780663
7,gpr_qavg,-0.04823678394920114,0.00883522123103492,0.0759478650446312
8,msi_raw,-0.1353840007305653,-0.052883219504143646,0.004377610910255388
8,mu_cp,-0.00014400917376439335,0.04895447632202881,0.11826252767239556
8,CPI_QoQ_Ann,-0.08009138980528005,-0.023023025915079057,0.0159071088924688
8,Ind_Value_Added_YoY,-0.014800778673131497,0.03659872707893996,0.10078120704061863
8,epu_qavg,-0.16374149889870815,-0.0770850298410769,-0.015402926153493679
8,gpr_qavg,-0.04069254045978529,0.009208063733356803,0.06824554894115312
9,msi_raw,-0.13833110454855727,-0.050389407320184106,0.002050784955236223
9,mu_cp,0.005956867394636783,0.049994716854026816,0.11429532369853115
9,CPI_QoQ_Ann,-0.060238151835883796,-0.007600036673482695,0.04277660341540987
9,Ind_Value_Added_YoY,-0.029442596719138264,0.020283283588642717,0.0846618788551991
9,epu_qavg,-0.15547934359107707,-0.07016908370191595,-0.011524664627998678
9,gpr_qavg,-0.036930632958443746,0.005857506894872621,0.06482797696012202
10,msi_raw,-0.12424897947796057,-0.04576753641545216,0.0007243542143910367
10,mu_cp,0.0018739597266440862,0.04197521359719285,0.10513886139227602
10,CPI_QoQ_Ann,-0.07246257701549957,-0.022896503498244354,0.014808632716438291
10,Ind_Value_Added_YoY,-0.016211325804681775,0.024403066873527515,0.08618761195155708
10,epu_qavg,-0.15240243167628187,-0.06513814700734709,-0.011270285434432155
10,gpr_qavg,-0.043008993423047995,0.001405055700148847,0.04694691892429345
11,msi_raw,-0.1198378834000995,-0.04375605262845232,-0.0022865887926352742
11,mu_cp,9.141910102491248e-5,0.03717067508714839,0.10006419051439283
11,CPI_QoQ_Ann,-0.05561242853081798,-0.01387093950458766,0.01908029193744313
11,Ind_Value_Added_YoY,-0.02151712056274502,0.020990675883601182,0.07458800527509124
11,epu_qavg,-0.1432089556200007,-0.05313850182188654,-0.006584560177179793
11,gpr_qavg,-0.03831054275118763,0.00044303732012766604,0.04448746971452036
12,msi_raw,-0.11539065406159202,-0.03548059214152936,0.005444878880956707
12,mu_cp,-0.002926147244706408,0.03149935008237346,0.09651521943131311
12,CPI_QoQ_Ann,-0.06149258096978169,-0.01843587870607487,0.010588362185121726
12,Ind_Value_Added_YoY,-0.004711650075636141,0.026893840325542186,0.08062808014860492
12,epu_qavg,-0.1378332663481392,-0.04902950894746265,-0.00375263087296727
12,gpr_qavg,-0.032471038692742954,0.001193881623866802,0.03820997825568906
